id,Title,Director,Vote_Average,Genre,Year,Original_Language,Overview,Poster_Url,Trailer,Price
11,A Hora do Lobo,Ingmar Bergman,7.4,Drama,1968,Sueco,"Um pintor e sua esposa vão morar em uma ilha afastada de tudo e conhecem um misterioso grupo de pessoas que passam a trazer angústias ainda maiores à vida do casal, que já estava atormentado pelos pesadelos do pintor e por conflitos psicológicos. Durante a hora do lobo, entre a meia-noite e a aurora, ele conta para sua esposa suas memórias mais dolorosas, e começa a questionar a própria lucidez.",https://image.tmdb.org/t/p/w500/2lSxXCBgO1fpsdOcq7GDy0Z8T9g.jpg,https://www.youtube.com/watch?v=FP2YndWnNKU,20
12,Terra em Transe,Glauber Rocha,7.3,Drama,1967,Português,"No hipotético país latino-americano Eldorado, o poeta e jornalista idealista e anarquista Paulo Martins luta contra o governador populista e o presidente conservador, apoiado pelas forças revolucionárias. Paulo fica dividido entre a loucura da elite e a submissão cega das massas.",https://image.tmdb.org/t/p/w500/5xSNXpjMRgaJhpWHiGeWxaRKBxD.jpg,https://www.youtube.com/watch?v=hkITr_eK9Vc,10
13,O Poderoso Chefão,Francis Ford Coppola,8.7,Drama,1972,Inglês,"Em 1945, Don Corleone é o chefe de uma mafiosa família italiana de Nova York. Ele costuma apadrinhar várias pessoas, realizando importantes favores para elas, em troca de favores futuros. Com a chegada das drogas, as famílias começam uma disputa pelo promissor mercado. Quando Corleone se recusa a facilitar a entrada dos narcóticos na cidade, não oferecendo ajuda política e policial, sua família começa a sofrer atentados para que mudem de posição. É nessa complicada época que Michael, um herói de guerra nunca envolvido nos negócios da família, vê a necessidade de proteger o seu pai e tudo o que ele construiu ao longo dos anos.",https://image.tmdb.org/t/p/w500/uP46DujkD3nwcisOjz9a0Xw0Knj.jpg,https://www.youtube.com/watch?v=0v6MO0EB7UY,16
14,O Poderoso Chefão: Parte II,Francis Ford Coppola,8.6,Drama,1974,Inglês,"Após a máfia matar sua família, o jovem Vito foge da sua cidade na Sicília e vai para a América. Vito luta para manter sua família. Ele mata Black Hand Fanucci, que exigia dos comerciantes uma parte dos seus ganhos. Com a morte de Fanucci, o poderio de Vito cresce, mas sua família é o que mais importa para ele. Agora baseado no Lago Tahoe, Michael planeja fazer incursões em Las Vegas e Havana instalando negócios ligados ao lazer, mas descobre que aliados como Hyman Roth estão tentando matá-lo.",https://image.tmdb.org/t/p/w500/7g6wvsWHxBQujUcSXvZLhdFpDUy.jpg,https://www.youtube.com/watch?v=FLbWXkka9wU,14
15,O Exorcista,William Friedkin,7.7,Terror,1973,Inglês,"Em Georgetown, Washington, uma atriz vai gradativamente tomando consciência que a sua filha de doze anos está tendo um comportamento completamente assustador. Deste modo, ela pede ajuda a um padre, que também um psiquiatra, e este chega a conclusão de que a garota está possuída pelo demônio. Ele solicita então a ajuda de um segundo sacerdote, especialista em exorcismo, para tentar livrar a menina desta terrível possessão.",https://image.tmdb.org/t/p/w500/bYTMDg3eGFuO7emXbQip02a8zvQ.jpg,https://www.youtube.com/watch?v=a8g3h2JaVE4,14
16,Com 007 Viva e Deixe Morrer,Guy Hamilton,6.5,Aventura,1973,Inglês,"O tráfico de heroína e a morte de agentes secretos colocam frente a frente James Bond (Roger Moore) e Mr. Big (Yaphet Kotto), o chefão do crime em Nova York. Sua organização age impulsionada pelas visões de Solitaire (Jane Seymour), uma cartomante com poderes especiais. Quando conhece Bond, Solitaire perde os seus poderes e é condenada a morte em um ritual vudu.",https://image.tmdb.org/t/p/w500/oxPPkImbyUCNvdhHf1zO4S1ayKd.jpg,https://www.youtube.com/watch?v=lVXtUai8feM,14
17,Emmanuelle,Just Jaeckin,6.0,Drama,1974,Francês,"Uma modelo, Emmanuelle (Sylvia Kristel), vai de Paris até Bangcoc, na Tailândia, para se encontrar com o marido, Jean (Daniel Sarky), que atua no corpo diplomático. Lá Emmanuelle tem aventuras amorosas com homens e mulheres do novo círculo de amizades, apesar de amar Jean. Ele também tem casos extraconjugais, no entanto ambos aceitam este comportamento, que Emmanuelle se recusa a rotular de traição, pois não há mentiras entre eles.",https://image.tmdb.org/t/p/w500/aUYDbpjBtn7BaRokrzSJZbByJtl.jpg,https://www.youtube.com/watch?v=6ijaSR2jYjw,11
18,O Jovem Frankenstein,Mel Brooks,7.9,Comédia,1974,Inglês,"Chamado ao castelo de seu finado avô na Transilvânia, o jovem Dr. Frankestein logo descobre um manual descrevendo passo a passo como trazer um cadáver de volta à vida. Auxiliado pelo corcunda Igor e pela curvilínea Inga, ele cria um monstro que só deseja ser amado.",https://image.tmdb.org/t/p/w500/7Ae76AbN6p5DdXvUbpCRJ2c5yN2.jpg,https://www.youtube.com/watch?v=ZL9Q_0JtMNA,12
19,Gritos e Sussurros,Ingmar Bergman,7.9,Drama,1972,Sueco,"Em uma casa no campo uma mulher está bastante enferma e recebe cuidados de suas duas irmãs e de uma empregada da família, que precocemente perdeu sua filha e por isso extravaza seu amor de mãe dando o maior carinho possível para aquela moça tão debilitada. Dentro deste contexto lembranças, frustrações e imaginações em um misto de amor e ódio surgem no interior de cada pessoa.",https://image.tmdb.org/t/p/w500/4Sk198bnw1VH68mUwr5meJinJOW.jpg,https://www.youtube.com/watch?v=tlRTl_GrnBc,16
20,Tintim e o Lago dos Tubarões,Raymond Leblanc,6.2,Aventura,1972,Francês,"Tintim é enviado para proteger o professor Calculus, que inventou uma máquina que pode duplicar qualquer coisa, e está hospedado em uma aldeia perto da fronteira de Syldavia e Bodouria. Rastapopoulous, um infame e implacável criminoso internacional, tenta atrair Calculus e Tintim, sequestrando duas crianças, que moram nas proximidades, para colocar suas garras na máquina.",https://image.tmdb.org/t/p/w500/7ZabYjtFNIdYzIhApk0ge9Njbpy.jpg,https://www.youtube.com/watch?v=55mQkeO-K34,17
21,Guerra nas Estrelas,George Lucas,8.2,Aventura,1977,Inglês,A princesa Leia é mantida refém pelas forças imperiais comandadas por Darth Vader. Luke Skywalker e Han Solo precisam libertá-la e restaurar a liberdade e a justiça na galáxia.,https://image.tmdb.org/t/p/w500/dw7X9YPjjAfIxKHW04V64Bb9TB0.jpg,https://www.youtube.com/watch?v=jVrf_bKTjo4,19
22,O Império dos Sentidos,大島渚,6.6,Drama,1976,Japonês,A história de uma ex-prostituta que envolve-se em um caso de amor obsessivo com o senhorio de uma propriedade onde ela trabalha como criada. O que começa como uma diversão inconseqüente transforma-se em uma paixão que ultrapassa quaisquer limites.,https://image.tmdb.org/t/p/w500/28XPd5gYMQ418PxfLybfAxw5zYI.jpg,https://www.youtube.com/watch?v=4nuC0kUYuqA,15
23,Alcatraz: Fuga Impossível,Don Siegel,7.5,Drama,1979,Inglês,"São Francisco, 1960. Frank Morris é um condenado que tem várias tentativas de fugas em seu histórico. Ele é enviado para Alcatraz, uma prisão de segurança máxima que também é conhecida como A Rocha e que fica em uma ilha, sendo que quem tentou escapar de lá ou foi recapturado ou morreu afogado. Frank vê gradativamente os pontos vulneráveis de Alcatraz e, com a ajuda de alguns outros internos, tenta pacientemente criar um rota de fuga.",https://image.tmdb.org/t/p/w500/hxmqEhjMIC5OPc6uQVGHhArWNSV.jpg,https://www.youtube.com/watch?v=sWMwU1z0WcM,11
24,Emmanuelle 2 - Antivirgem,Francis Giacobetti,5.6,Drama,1975,Francês,"Deixando a Tailândia, Emmanuelle (Sylvia Kristel) navega para Hong Kong para ir ao encontro de seu marido, Jean (Umberto Orsini), com quem mantêm um casamento aberto. Ao chegar descobre que ele convidara Christopher (Frédéric Lagache) para ficar hospedado na casa deles. Ela tenta seduzir o hóspede mas não obtém sucesso, pois ele prefere a companhia de asiáticas, o que o faz estar sempre no Jardim de Jade, um prostíbulo. Emmanuelle conhece Laura (Florence L. Afuma), com quem Jean teve um caso. Paralelamente ela tem suas aventuras amorosas, mas o futuro lhes reserva a mesma pessoa.",https://image.tmdb.org/t/p/w500/tFFmKV9jnzzTseJ8kH4I4zXTWKU.jpg,https://www.youtube.com/watch?v=Q0j78J5SeHY,11
25,Asterix e os Doze Trabalhos,René Goscinny,7.3,Família,1976,Francês,"Depois de mais uma tentativa de conquistar a vila gaulesa, alguns dos senadores romanos começam a suspeitar de que os moradores dali são, na verdade, uma espécie de deuses. César,  para manter seu trono, envia à vila uma lista com doze tarefas que só poderiam ser realizadas por seres superiores. Se os gauleses vencerem o desafio, ele admitiria sua derrota. Caso contrário, se tornariam seus escravos. A proposta é aceita. Asterix, por ser o mais esperto, e Obelix, por ser o mais forte, são escolhidos para representar a vila. Com o peso de não falhar em uma só tarefa, os dois saem para cumprir os doze trabalhos e manter a dignidade gaulesa.",https://image.tmdb.org/t/p/w500/qAr6KRxlXCRtkFXoLvnzEgnW9Iw.jpg,https://www.youtube.com/watch?v=LPYn1d5hmqA,14
26,Sonata de Outono,Ingmar Bergman,8.0,Drama,1978,Sueco,"Após ter sido uma mãe ausente por anos, Charlotte (Ingrid Bergman), uma renomada pianista, vai até a casa de sua filha Eva (Liv Ullmann) para lhe fazer uma visita. Ela se surpreende ao encontrar sua outra filha, Helena (Lena Nyman), que tem problemas mentais. Eva tirou Helena da instituição que Charlotte a havia internado para cuidar dela em casa. A tensão entre mãe e filha começa a crescer devagar até elas colocarem tudo em panos limpos, dizendo tudo que sempre gostariam de dizer.",https://image.tmdb.org/t/p/w500/x7QwdCyeLiD7ljIjqtBy6g5koyP.jpg,https://www.youtube.com/watch?v=eOizTkQocaY,13
