Nome do filme,Diretor,Avaliação,Número de votos,Sinopse,Gênero,Ano de lançamento,Língua,Link para a capa,Trailer,Duração
Lawrence da Arábia,David Lean,7.998,3131,"Graças ao seu conhecimento dos beduínos, o oficial britânico T.E. Lawrence é enviado à Arábia para encontrar o príncipe Faisal e servir de ligação entre árabes e ingleses na luta contra os turcos. Com a ajuda do nativo xerife Ali, Lawrence se rebela contra as ordens de seus superiores e enfrenta uma jornada através do deserto para atacar um porto turco bem protegido.",Aventura,1962,en,https://image.tmdb.org/t/p/w500/r0xZR5ENEc8Pp2ULhkP4lgUWk8Y.jpg,,216
Lolita,Stanley Kubrick,7.317,2114,"Humbert é um professor europeu que muda para os Estados Unidos e aluga um quarto da viúva Charlotte, com quem acaba de casando. Porém, se apaixona pela filha sedutora de sua esposa, Lolita, de 12 anos, na esperança de tê-la só para si.",Drama,1962,en,https://image.tmdb.org/t/p/w500/gZPg4bU9acbLdTLgO8GebK1LrBH.jpg,,152
Harakiri,Masaki Kobayashi,8.415,1075,"No século 18, o Japão não está mais em guerra e o país é governado com firmeza. Hanshiro Tsugumo, um dos muitos ronin (samurais errantes) desempregados, decide bater à porta do poderoso clã Ii. Recebido por Kageyu Saito, o intendente do clã, ele pede permissão para cometer suicídio por harakiri na residência. Tentando dissuadi-lo, Saito começa a lhe contar a história de Motome Chijiwa, outro ronin que também queria realizar o mesmo ritual no local.",Ação,1962,ja,https://image.tmdb.org/t/p/w500/3uRTEObwdN7Q3u5xswL2Vf8EsOn.jpg,,135
O Sol é Para Todos,Robert Mulligan,7.987,2679,"Scout Finch, de 6 anos, e seu irmão mais velho, Jem, vivem na pacata Maycomb, Alabama, passando a maior parte do tempo com seu amigo Dill e espionando seu vizinho recluso e misterioso, Boo Radley. Quando Atticus, seu pai viúvo e um advogado respeitado, defende um homem negro chamado Tom Robinson contra acusações forjadas de estupro, o julgamento e os eventos seguintes expõem as crianças aos males do racismo e dos estereótipos.",Drama,1962,en,https://image.tmdb.org/t/p/w500/qIsxcjmJW7ykIHJDuB2NqJUChIZ.jpg,,130
O Homem que Matou o Facínora,John Ford,7.793,1187,"Equiparado a No Tempo das Diligências como um dos maiores do gênero, este filme é um faroeste atual que se sobrepõe a todos faroestes clássicos. John Ford, cujo próprio nome é sinônimo do gênero, dirigiu o elenco perfeito. Jimmy Stewart interpreta o desajeitado mas charmoso advogado da cidade grande, decidido a livrar o vilarejo de Shinbone de seu encrenqueiro e mau caráter número um: Liberty Valance. E como se não bastasse, o maior astro que já apertou o gatilho interpreta o homem do título: John Wayne. O supersincero Stewart e o rústico rancheiro Wayne também dividem a mesma paixão. Um pega o pistoleiro e o outro pega a garota.",Faroeste,1962,en,https://image.tmdb.org/t/p/w500/teVrGBWygLJPcnS3QB96KUXCPOg.jpg,,124
O Que Terá Acontecido a Baby Jane?,Robert Aldrich,7.908,1081,"A história do diretor Robert Aldrich é um thriller sobre uma veterana atriz de teatro que conheceu a fama na infância e agora inicia um reinado psicótico de terror sobre sua irmã, ex-rainha do cinema nos anos 30 e hoje presa a uma cadeira de rodas.",Thriller,1962,en,https://image.tmdb.org/t/p/w500/cUmqJtXESwRNTUU9s1Xtu6PJSUH.jpg,,132
Jules e Jim - Uma Mulher para Dois,François Truffaut,7.567,996,"Baseado no romance de Henri-Pierre Roché, este clássico da Nouvelle Vague narra um triângulo amoroso animado entre dois amigos, um francês e um alemão, e uma mulher sedutora, objeto de sua mútua obsessão, durante 25 anos.",Drama,1962,fr,https://image.tmdb.org/t/p/w500/eBCu1Kk4pNOXd8c0TOu51qePFIQ.jpg,https://www.youtube.com/watch?v=ENsHs_XsgSk,106
Fugindo do Inferno,John Sturges,7.944,2627,"Em 1943 os nazistas decidem transferir os prisioneiros de guerra militares, que têm maior incidência em tentativas de fugas, para o mesmo campo, que foi projetado para impedir qualquer tipo de evasão. Mas isto foi um erro, pois apesar dos prisioneiros gozarem de certos privilégios, cada um era o melhor na sua ""especialidade"" e não pretendiam ficar presos até o final da guerra. Logo idealizam um audacioso plano de fuga, que previa a construção de três túneis, mas a idéia não era retirar do campo alguns prisioneiros mas sim duzentos e cinqüenta.",Aventura,1963,en,https://image.tmdb.org/t/p/w500/iTh8thzuxiM5FwCaxsSTpaix27L.jpg,,172
Moscou Contra 007,Terence Young,7.1,3068,"James Bond é incumbido de ajudar uma bela agente soviética a fugir de seu país para então tentar recuperar uma leitora de códigos na embaixada russa, em Londres. Porém, Bond não sabe que a temível organização criminosa Spectre organizou esta armadilha no intuito de executá-lo.",Ação,1963,en,https://image.tmdb.org/t/p/w500/7w8GOJxGfu8tmFoeoX2RsSg6JZM.jpg,,115
A Espada Era a Lei,Wolfgang Reitherman,7.2,3898,"Um jovem garoto desajeitado, protegido e aprendiz do Mago Merlim, ouve dizer que aquele que conseguisse retirar uma espada mágica de uma pedra, seria declarado Rei da Inglaterra, e resolve aceitar o desafio, o que provoca risos dos outros interessados. Mas para surpresa de todos, o garoto, obtêm êxito tornando-se o lendário Rei Arthur.",Animação,1963,en,https://image.tmdb.org/t/p/w500/d5rtXHSx4sXJKMJsLR7OUjryCHl.jpg,,80
A Pantera Cor-de-Rosa,Blake Edwards,6.84,1079,"O diamante conhecido como Pantera Cor-de-Rosa está na mira de um ousado ladrão europeu e seu sobrinho, que tem a intenção de colocar a culpa do roubo no tio. Só que para isso, eles terão que despistar o desajeitado inspetor francês Jacques Clouseau.",Comédia,1963,en,https://image.tmdb.org/t/p/w500/pKhlWmmISex6UeuBXjudZFs0vql.jpg,,115
Os Pássaros,Alfred Hitchcock,7.518,4195,"Melanie Daniels, uma jovem da cidade de São Francisco, vai até uma pequena cidade isolada da Califórnia, chamada Bodega Bay, atrás de um potencial namorado: Mitch Brenner. Mas na cidade começa de repente a acontecer fatos estranhos: pássaros de todas as espécies passam a atacar a população, em número cada vez maior e com mais violência, deixando todos aterrorizados.",Terror,1963,en,https://image.tmdb.org/t/p/w500/oY6n1y79rLp7yjfJpOehrL3dMUI.jpg,,119
Céu e Inferno,Akira Kurosawa,8.345,975,"Em um momento crucial de sua vida financeira, Gondo, um executivo de uma empresa de calçados, recebe a notícia de que seu filho foi sequestrado, e o resgate exigido é uma quantia de dinheiro semelhante à que ele precisa para fechar um negócio importante. Gondo está disposto a pagar o resgate até perceber que os sequestradores cometeram um erro e levaram, na verdade, o filho do seu motorista. Agora ele precisa decidir se o dinheiro é mais importante do que a vida do garoto.",Drama,1963,ja,https://image.tmdb.org/t/p/w500/iRvFiy9JpNMQp9PUG2qvN0jfcdG.jpg,,143
Charada,Stanley Donen,7.669,1420,"Em Paris a americana Regina Lambert (Audrey Hepburn), que recentemente ficou viúva, tenta entender que tipo de vida o marido levava e onde podem estar escondidos os US$ 250 mil que muitos acreditam estar com ela.",Comédia,1963,en,https://image.tmdb.org/t/p/w500/7z6sVZyLX9RVHRn6IkIYiiEEE2x.jpg,,114
