Nome do filme,Diretor,Ano de lançamento,Língua,Sinopse,Link para a capa,Trailer
Premonição 2,David R. Ellis,2003,en,"Kimberly está na estrada com amigos quando tem a visão de um acidente com inúmeros carros e mortes, inclusive a sua. Apavorada, ela para na tentativa de evitar a ocorrência. Mas, infelizmente, o acidente acontece. Contudo, algumas das pessoas que deveriam ter morrido acabam se salvando. E é aí que o",https://image.tmdb.org/t/p/w500/v1HSfT3BjDRGfHji30VvHeCBJHu.jpg,https://www.youtube.com/watch?v=s6nMQKupkuw
Batman: O Cavaleiro das Trevas,Christopher Nolan,2008,en,"Após dois anos desde o surgimento do Batman, os criminosos de Gotham City têm muito o que temer. Com a ajuda do tenente James Gordon e do promotor público Harvey Dent, Batman luta contra o crime organizado. Acuados com o combate, os chefes do crime aceitam a proposta feita pelo Coringa e o contratam",https://image.tmdb.org/t/p/w500/4lj1ikfsSmMZNyfdi8R8Tv5tsgb.jpg,https://www.youtube.com/watch?v=9HPaJQAIx6w
Harry Potter e a Pedra Filosofal,Chris Columbus,2001,en,"Harry Potter é um garoto órfão que vive infeliz com seus tios, os Dursley. Em seu aniversário de 11 anos ele recebe uma carta que mudará sua vida: um convite para ingressar em Hogwarts.",https://image.tmdb.org/t/p/w500/4rtsbE9aQ1qw4gv7yYwaNYfWFoS.jpg,https://www.youtube.com/watch?v=9fIObnIGMlI
Shrek,Andrew Adamson,2001,en,"Em um pântano distante vive Shrek, um ogro solitário que vê, sem mais nem menos, sua vida ser invadida por uma série de personagens de contos de fada, como três ratos cegos, um grande e malvado lobo e ainda três porcos que não têm um lugar onde morar. Todos eles foram expulsos de seus lares pelo mal",https://image.tmdb.org/t/p/w500/iB64vpL3dIObOtMZgX3RqdVdQDc.jpg,https://www.youtube.com/watch?v=5KhMx85eaOM
Premonição 3,James Wong,2006,en,"Seis anos depois que um grupo de estudantes enganam pela primeira vez a morte, uma adolescente tem o pressentimento de que ela e seus amigos vão ter um acidente em uma montanha-russa. Quando a visão prova ser verdadeira, a estudante e os sobreviventes precisarão lidar com as repercussões de enganar ",https://image.tmdb.org/t/p/w500/g4Afv3CR6ofDtKdlfFOOPYvHzvC.jpg,https://www.youtube.com/watch?v=8R4xy4G1SGU
Premonição 4,David R. Ellis,2009,en,"Durante uma corrida de carros, Nick O'Bannon tem uma horrível premonição sobre uma sequência de eventos que causarão um sério acidente, matando diversos espectadores de forma brutal. Quando volta dessa visão, o garoto se dá conta de que tudo o que previu está prestes a acontecer e agora ele terá de ",https://image.tmdb.org/t/p/w500/sIDOFaipvpSM0R2uZNcDMLvTbhM.jpg,https://www.youtube.com/watch?v=ZpikaVs4FD4
007 Cassino Royale,Martin Campbell,2006,en,"Depois de obter o status 00 e uma licença para matar, o agente secreto James Bond parte em sua primeira missão como 007. Bond precisa derrotar um banqueiro privado que financia terroristas em um jogo de pôquer de alto risco no Casino Royale, Montenegro.",https://image.tmdb.org/t/p/w500/7b3qmLlvm2lvJ2gxsKQ42S3RTKR.jpg,https://www.youtube.com/watch?v=FaCoZhLJxYo
Gladiador,Ridley Scott,2000,en,"Nos dias finais do reinado de Marcus Aurelius, o imperador desperta a ira de seu filho Commodus ao tornar pública sua predileção em deixar o trono para Maximus, o comandante do exército romano. Sedento pelo poder, Commodus mata seu pai, assume a coroa e ordena a morte de Maximus, que consegue fugir ",https://image.tmdb.org/t/p/w500/4DUClyGA6OqjXv6yC0Imf6THGfp.jpg,https://www.youtube.com/watch?v=AVPCzVHLAYY
Coraline e o Mundo Secreto,Henry Selick,2009,en,"Entediada em sua nova casa, a pequena Coraline descobre uma porta secreta que contém um mundo parecido com o dela, porém melhor em muitas maneiras. Coraline se encanta com a descoberta, mas logo descobre que há algo de errado quando seus pais alternativos tentam mantê-la eternamente nesse mundo para",https://image.tmdb.org/t/p/w500/eebuT4ISt1lU0I78ZUPvlzhfdj9.jpg,https://www.youtube.com/watch?v=X3Pc9emMSxk
Avatar,James Cameron,2009,en,"Apesar de não ter mais os movimentos da perna, o ex-fuzileiro naval Jake Sully ainda sente que pode ser um guerreiro. Sua intuição começa a se tornar realidade quando ele viaja anos-luz até a estação espacial montada no Planeta Pandora. Habitado por grandes seres azuis, os Na´vi, o local tem uma atm",https://image.tmdb.org/t/p/w500/iNMP8uzV2Ing6ZCw0IICgEFVNfC.jpg,https://www.youtube.com/watch?v=G1fymUSI4cc
O Senhor dos Anéis: O Retorno do Rei,Peter Jackson,2003,en,"O confronto final entre as forças do bem e do mal que lutam pelo controle do futuro da Terra Média se aproxima. Sauron planeja um grande ataque a Minas Tirith, capital de Gondor, o que faz com que Gandalf e Pippin partam para o local na intenção de ajudar a resistência. Um exército é reunido por The",https://image.tmdb.org/t/p/w500/egSO4klmc9pnI1CNnHoYKV70XKI.jpg,https://www.youtube.com/watch?v=LiKeQrChkTY
Homem de Ferro,Jon Favreau,2008,en,"Tony Stark é um industrial bilionário, que também é um brilhante inventor. Ao ser sequestrado ele é obrigado por terroristas a construir uma arma devastadora mas, ao invés disto, constrói uma armadura de alta tecnologia que permite que fuja de seu cativeiro. A partir de então ele passa a usá-la para",https://image.tmdb.org/t/p/w500/adSJ0DpgOsMwrpUH78cZpLGOOAk.jpg,https://www.youtube.com/watch?v=Y4_ngNQd7FM
Harry Potter e a Câmara Secreta,Chris Columbus,2002,en,"Carros voadores, árvores que lutam e um misterioso elfo, com um aviso ainda mais misterioso. Harry Potter está pronto para dar início ao segundo ano de sua maravilhosa jornada no mundo da bruxaria. Em Hogwarts nesse ano, aranhas falam, cartas dão broncas e a habilidade de Harry para falar com cobras",https://image.tmdb.org/t/p/w500/27DNJjNTLpKDsuhqjSjklyPnos4.jpg,https://www.youtube.com/watch?v=cf0rRYvDuys
A Viagem de Chihiro,Hayao Miyazaki,2001,ja,"Chihiro e seus pais estão se mudando para uma cidade diferente. A caminho da nova casa, o pai decide pegar um atalho. Eles se deparam com uma mesa repleta de comida, embora ninguém esteja por perto. Chihiro sente o perigo, mas seus pais começam a comer. Quando anoitece, eles se transformam em porcos",https://image.tmdb.org/t/p/w500/hhoKhsyJ3hFaxEm5pMdZRiTu2lJ.jpg,https://www.youtube.com/watch?v=SgZI655GgHk
Harry Potter e o Prisioneiro de Azkaban,Alfonso Cuarón,2004,en,"Quando a desprezível Tia Guida voa pelo céu na noite, Harry parte para o que será seu terceiro ano em Hogwarts. Um passeio no Nôitibus o leva para o Beco Diagonal onde ele fica sabendo que um prisioneiro foragido, Sirius Black está atrás dele. Em Hogwarts, Harry e seus amigos aprendem a delicada art",https://image.tmdb.org/t/p/w500/1HdMUghqlgOIvbsU9ZtO40IPRzl.jpg,https://www.youtube.com/watch?v=Iy1SfOa7X3s
Piratas do Caribe: A Maldição do Pérola Negra,Gore Verbinski,2003,en,"O pirata Jack Sparrow tem seu navio saqueado e roubado pelo capitão Barbossa e sua tripulação. Com o navio de Sparrow, Barbossa invade a cidade de Port Royal, levando consigo Elizabeth Swann, filha do governador. Para recuperar sua embarcação, Sparrow recebe a ajuda de Will Turner, um grande amigo d",https://image.tmdb.org/t/p/w500/zUpeLvZJw5Tf22BAjraOZFex9E0.jpg,https://www.youtube.com/watch?v=DGnatLS9Ohw
Monstros S.A.,Pete Docter,2001,en,"O astro do susto, Sulley, e seu falante assistente, Mike, trabalham na Monstros S.A., a maior fábrica de processamento de gritos da cidade de Monstrópolis. A principal fonte de energia do mundo dos monstros provém da coleta dos gritos das crianças humanas. Os monstros acreditam que as crianças são t",https://image.tmdb.org/t/p/w500/mKiG037CiuSZqL1gxsDHyBj28lg.jpg,https://www.youtube.com/watch?v=iRh2kF-1X2E
Harry Potter e o Cálice de Fogo,Mike Newell,2005,en,"Quando o nome de Harry Potter emerge do Cálice de Fogo, ele se transforma em um competidor em uma extenuante batalha de magia entre três escolas de feiticeiros – o Torneio Tribruxo. Mas se Harry não se inscreveu para o tal torneio, quem o fez? Agora, Harry precisa confrontar um mortal dragão, feroze",https://image.tmdb.org/t/p/w500/5oWB3hjzyECRBAjgWkmZinxl9qA.jpg,https://www.youtube.com/watch?v=RwJlOdtoHRE
Harry Potter e a Ordem da Fênix,David Yates,2007,en,"Lord Voldemort está de volta, mas o Ministério da Magia está fazendo tudo a seu alcance para impedir que a comunidade mundial de bruxos descubra isso – incluindo indicar a oficial do Ministério, Dolores Umbridge, como a nova professora de Defesa Contra as Artes das Trevas de Hogwarts. Quando Umbridg",https://image.tmdb.org/t/p/w500/tIf9aUyNljda9MG1pjlOLHCZ3b0.jpg,https://www.youtube.com/watch?v=Tbv2Al6LGW8
Procurando Nemo,Andrew Stanton,2003,en,"Nemo, um jovem peixe-palhaço aventureiro, é inesperadamente levado de sua casa na Grande Barreira de Corais para o aquário do consultório de um dentista. Cabe ao seu preocupado pai Marlin e à simpática mas esquecida peixe Dory trazer Nemo para casa - encontrando tubarões vegetarianos, tartarugas sur",https://image.tmdb.org/t/p/w500/5jrPMq7IMLTqcuPDlK6jfruEbpq.jpg,https://www.youtube.com/watch?v=lJhvtAt_1Nk
Orgulho e Preconceito,Joe Wright,2005,en,"Elizabeth Bennet vive com sua mãe, pai e irmãs no campo, na Inglaterra. Por ser a filha mais velha, ela enfrenta uma crescente pressão de seus pais para se casar. Quando Elizabeth é apresentada ao belo e rico Darcy, faíscas voam. Embora haja uma química óbvia entre os dois, a natureza excessivamente",https://image.tmdb.org/t/p/w500/dmnY0Zs8uMSHkMiol7M3xOlvvkK.jpg,https://www.youtube.com/watch?v=Y6XneqkfD3c
Star Wars: Episódio III - A Vingança dos Sith,George Lucas,2005,en,"As Guerras Clônicas estão em pleno andamento e Anakin Skywalker mantém um elo de lealdade com Palpatine, ao mesmo tempo em que luta para que seu casamento com Padmé Amidala não seja afetado por esta situação. Seduzido por promessas de poder, Anakin se aproxima cada vez mais de Darth Sidious até se t",https://image.tmdb.org/t/p/w500/m8PpvsZqTb2RYYnPIF7DZii1DuA.jpg,https://www.youtube.com/watch?v=znpliCR0_Kw
À Procura da Felicidade,Gabriele Muccino,2006,en,"Chris enfrenta sérios problemas financeiros e Linda, sua esposa, decide partir. Ele agora é pai solteiro e precisa cuidar de Christopher, seu filho de 5 anos. Chris tenta usar sua habilidade como vendedor para conseguir um emprego melhor, mas só consegue um estágio não remunerado. Seus problemas fin",https://image.tmdb.org/t/p/w500/f79DB2IOlmEN2v7lTmfXlN0AUHB.jpg,https://www.youtube.com/watch?v=2tYV9iYr-DM
Busca Implacável,Pierre Morel,2008,en,"Bryan Mills é um ex-agente do governo, que deixou o emprego para que pudesse passar mais tempo com Kim, a filha que teve com sua ex-esposa Lenore. Ele passa então a trabalhar com antigos colegas, realizando serviços leves de segurança particular. Um dia Kim pede ao pai autorização para que viaje a P",https://image.tmdb.org/t/p/w500/q5Lr8E4HSK7Lc4zqWtgtYsM1iJA.jpg,https://www.youtube.com/watch?v=8bk1P61sG9w
Bastardos Inglórios,Quentin Tarantino,2009,en,"Durante a Segunda Guerra Mundial, na França, um grupo de judeus americanos conhecidos como Bastardos espalha o terror entre o terceiro Reich. Ao mesmo tempo, Shosanna, uma judia que fugiu dos nazistas, planeja vingança quando um evento em seu cinema reunirá os líderes do partido.",https://image.tmdb.org/t/p/w500/n8fuS2uDDykO4P3RBPKLhWs0Ffj.jpg,https://www.youtube.com/watch?v=w1O5LThfp7w
Harry Potter e o Enigma do Príncipe,David Yates,2009,en,"À medida que Lord Voldemort aumenta seu controle sobre o mundo Trouxa e bruxo, Hogwarts não é mais um local seguro. Harry suspeita que haja perigos dentro do castelo, mas Dumbledore está mais empenhado em prepará-lo para a batalha final que se aproxima rapidamente. Juntos, eles trabalham para encont",https://image.tmdb.org/t/p/w500/rssGxuqkB2TAX9g2VsbBiUZIVzm.jpg,https://www.youtube.com/watch?v=wgkHfUaG1nI
WALL-E,Andrew Stanton,2008,en,"No ano 2800, num planeta Terra devastado e sem vida, depois de centenas de anos solitários a fazer aquilo para que foi construído - limpar o planeta de lixo - o pequeno robô WALL-E descobre uma nova missão na sua vida quando conhece uma moderna e brilhante robô exploradora chamada EVE. Os dois vão v",https://image.tmdb.org/t/p/w500/2TfYp0eMPrcKNjX6PTKGGQODjfF.jpg,https://www.youtube.com/watch?v=m5_lIuBXKWk
Onde os Fracos Não Têm Vez,Joel Coen,2007,en,"Quando um homem depara com a sangrenta cena de um crime, uma caminhonete carregada de heroína e irresistíveis dois milhões de dólares, sua decisão de levar o dinheiro deflagra uma interminável e violenta reação em cadeia, que nem a lei do Oeste do Texas pode deter.",https://image.tmdb.org/t/p/w500/mCCoKay6QPxvgaYmTmF3aGpNS4k.jpg,https://www.youtube.com/watch?v=mLGXybfTk6k
A Paixão de Cristo,Mel Gibson,2004,en,"O filme narra as últimas 12 horas de Jesus Cristo, que, após ser traído por Judas, é preso e levado para o julgamento de Poncio Pilatos. Sem conseguir encontrar um motivo para sua condenação, ele sofre com a pressão popular, que pede a crucificação de Jesus.",https://image.tmdb.org/t/p/w500/nhepbUWTnLb9fm4qk9h52MYBszm.jpg,https://www.youtube.com/watch?v=BWibLm_3Q1w
Homem-Aranha 3,Sam Raimi,2007,en,"O relacionamento entre Peter Parker e Mary Jane parece estar dando certo, mas outros problemas começam a surgir. A roupa de Homem-Aranha torna-se preta e acaba controlando Peter, que apesar de aumentar seus poderes, revela o lado obscuro de sua personalidade. Os vilões Venon e Homem-Areia tentam des",https://image.tmdb.org/t/p/w500/5831VrgpYNPEokBwxurLVpQ3twM.jpg,https://www.youtube.com/watch?v=CJBJQl9X5R8
A Fantástica Fábrica de Chocolate,Tim Burton,2005,en,"Willy Wonka (Johnny Depp) é o excêntrico dono da maior fábrica de doces do planeta, que decide realizar um concurso mundial para escolher um herdeiro para seu império. Cinco crianças de sorte, entre elas Charlie Bucket (Freddie Highmore), encontram um convite dourado em barras de chocolate Wonka e c",https://image.tmdb.org/t/p/w500/o1BtZCp1t7ZpLJu9lLEJ4STKUR3.jpg,https://www.youtube.com/watch?v=YNL0-ha1UPQ
Piratas do Caribe: No Fim do Mundo,Gore Verbinski,2007,en,"Will Turner e Elizabeth Swann unem forças com o Capitão Barbossa para libertarem Jack Sparrow da prisão de Davy Jones. Enquanto isso, a tripulação do barco fantasma O Holandês Voador causa estragos nos Sete Mares. Os amigos devem navegar através de águas perigosas para enfrentarem o pirata chinês Sã",https://image.tmdb.org/t/p/w500/2vgdFnsThB3acNVSUN9TzpUwLg5.jpg,https://www.youtube.com/watch?v=ljcJLMEPRY8
Kung Fu Panda,Mark Osborne,2008,en,"Po é um panda que trabalha na loja de macarrão da sua família e sonha em transformar-se em um mestre de kung fu. Seu sonho se torna realidade quando, inesperadamente, ele deve cumprir uma profecia antiga e estudar a arte marcial com seus ídolos, os Cinco Furiosos. Po precisa de toda a sabedoria, for",https://image.tmdb.org/t/p/w500/f6hXVGOjmwrmMjlPFHgXdFEmA8Y.jpg,https://www.youtube.com/watch?v=jZzvRsU-swo
As Branquelas,Keenen Ivory Wayans,2004,en,O que acontece quando dois atrapalhados agentes do FBI se disfarçam de princesas mega-ricas para se infiltrarem na alta sociedade? O resultado é situações extremamente engraçadas e diversão total ao ver estes dois irmãos azarados transformando-se em duas senhoritas refinadas e com estilo!,https://image.tmdb.org/t/p/w500/aJZOcorpgloDLkPP6ED0t9sXjNu.jpg,https://www.youtube.com/watch?v=DP8j8wxa3wM
2012,Roland Emmerich,2009,en,"Bilhões de habitantes da Terra não estão cientes de que o planeta tem uma data de expiração. Com os avisos de um cientista norte-americano, os líderes mundiais começam os preparativos secretos para a sobrevivência de alguns membros da sociedade. Quando o cataclisma global finalmente ocorre, o fracas",https://image.tmdb.org/t/p/w500/6ZwQWTKeLfmGyaCxKWEqEM7Ewtq.jpg,https://www.youtube.com/watch?v=S26KnDW5G08
A Princesa e o Sapo,Ron Clements,2009,en,"Tiana é uma bela jovem que vive em Nova Orleans. Desde criança ela sonha em ter um restaurante próprio, o que faz com que tenha dois empregos e junte o máximo de dinheiro possível. Para conseguir a quantia necessária para que possa enfim alugar o imóvel de seus sonhos, ela aceita trabalhar na festa ",https://image.tmdb.org/t/p/w500/7uyZwjeHH9JmfULo4WzMsDpfW0S.jpg,https://www.youtube.com/watch?v=GXBm6eyavtw
Matrix Reloaded,Lana Wachowski,2003,en,"Após derrotar as máquinas em seu combate inicial, Neo ainda vive na Nabucodonosor ao lado de Morpheus, Trinity e Link, o novo tripulante da nave. As máquinas estão realizando uma grande ofensiva contra Zion, onde 250 mil delas escavam rumo à cidade e podem alcançá-la em poucos dias. A Nabucodonosor ",https://image.tmdb.org/t/p/w500/e7DdXOXP6mH2y7Fv7ujrk5tlsh7.jpg,https://www.youtube.com/watch?v=dEGsoVtIg7g
Os Incríveis,Brad Bird,2004,en,"Beto Pêra e sua mulher Helena estavam entre os maiores super-heróis do mundo, salvando inúmeras vidas e combatendo o mal diariamente. Quinze anos depois, eles foram forçados a adotar novas identidades e a mudar-se para o subúrbio, onde vivem como cidadãos comuns com seus três filhos, Violeta, Flecha",https://image.tmdb.org/t/p/w500/9u27l1k3aUj774xOGCCaVX3iFDu.jpg,https://www.youtube.com/watch?v=P7KMDFpqXqk
Constantine,Francis Lawrence,2005,en,"John Constantine (Keanu Reeves) é um experiente ocultista e exorcista, que literalmente chegou ao inferno. Juntamente com Angela Dodson (Rachel Weisz), uma policial cética, ele investiga o misterioso assassinato da irmã gêmea dela, Isabel. As investigações levam a dupla a um mundo sombrio, em que pr",https://image.tmdb.org/t/p/w500/dd4uzgUAbBIiRW7dcY0AcgSWohJ.jpg,https://www.youtube.com/watch?v=CMRebdwZNe4
O Pianista,Roman Polanski,2002,en,"Um pianista judeu polonês vê Varsóvia mudar gradualmente à medida que a Segunda Guerra Mundial começa. Szpilman é forçado a ir para o Gueto de Varsóvia, mas depois é separado de sua família durante a Operação Reinhard. A partir deste momento até que os prisioneiros dos campos de concentração sejam l",https://image.tmdb.org/t/p/w500/zgtCY3VshbIv3UfNkdvVEShGmlE.jpg,https://www.youtube.com/watch?v=6NXjPxA_z0Q
O Fabuloso Destino de Amélie Poulain,Jean-Pierre Jeunet,2001,fr,"Após deixar a vida de subúrbio que levava com a família, a inocente Amélie muda-se para o bairro parisiense de Montmartre, onde começa a trabalhar como garçonete. Certo dia encontra uma caixa escondida no banheiro de sua casa e, pensando que pertencesse ao antigo morador, decide procurá-lo ­e é assi",https://image.tmdb.org/t/p/w500/wIFIdHZLDQRWZxpM9VsWaCXcWrk.jpg,https://www.youtube.com/watch?v=cYLFIJiFIjc
Eu Sou a Lenda,Francis Lawrence,2007,en,"Robert Neville é um brilhante cientista e o único sobrevivente de uma epidemia que transformou os humanos em mutantes sedentos por sangue. Andando pela cidade de Nova York, ele procura por outros possíveis sobreviventes e tenta achar a cura da praga usando seu próprio sangue, que é imune.",https://image.tmdb.org/t/p/w500/j2jb6DwNCPIU2LtUrJ9zoQIGvSz.jpg,https://www.youtube.com/watch?v=eoWK76MWalQ
Anjos e Demônios,Ron Howard,2009,en,"O professor de simbologia Robert Langdon (Tom Hanks), depois de decifrar o código DaVinci, é chamado pelo Vaticano para investigar o misterioso desaparecimento de quatro cardeais. Agora, além de enfrentar a resistência da própria igreja em ajudá-lo nos detalhes de sua investigação, Langdon precisa d",https://image.tmdb.org/t/p/w500/v9LR609qNP3ks7BvrUEO2hOyTQ6.jpg,https://www.youtube.com/watch?v=bvhtEpM6AHs
Amnésia,Christopher Nolan,2000,en,"Leonard está caçando o homem que estuprou e matou sua esposa. Ele tem dificuldades em encontrar o assassino pois sofre de uma forma intratável de perda de memória. Mesmo que ele possa lembrar detalhes da vida antes do acidente, Leonard não consegue lembrar o que aconteceu quinze minutos atrás, onde ",https://image.tmdb.org/t/p/w500/7leBWM27Q0TUnvmhw6WnFNgGn4G.jpg,https://www.youtube.com/watch?v=l2YlJ-czpw8
(500) Dias com Ela,Marc Webb,2009,en,"Um romântico escritor se surpreende quando sua namorada Summer termina o namoro repentinamente. Com isso, ele relembra vários momentos dos 500 dias que passaram juntos para tentar descobrir onde seu caso de amor se perdeu e vai redescobrindo suas verdadeiras paixões.",https://image.tmdb.org/t/p/w500/wkspryd5Ve93npEge3OFYCRgYwY.jpg,https://www.youtube.com/watch?v=qlg8Fp0x7PU
O Código Da Vinci,Ron Howard,2006,en,"Robert Langdon é um famoso simbologista, que foi convocado a comparecer no Museu do Louvre após o assassinato de um curador. A morte deixou uma série de pistas e símbolos estranhos, os quais Langdon precisa decifrar. Em seu trabalho, ele conta com a ajuda de Sophie Neveu, criptógrafa da polícia. Por",https://image.tmdb.org/t/p/w500/feyfwGwJOdUAAqjTP3vXJmSesAt.jpg,https://www.youtube.com/watch?v=QJibmt7IZnw
Psicopata Americano,Mary Harron,2000,en,"Em Nova York, em 1987, o belo jovem profissional Patrick Bateman tem uma segunda vida como um horrível assassino em série durante a noite. O elenco é formado pelo detetive, a noiva, a amante, o colega de trabalho e a secretária. Esta é uma comédia de humor seco que examina os elementos que transform",https://image.tmdb.org/t/p/w500/rxT7rVM4oLODCzdkkMPWGPMTSt3.jpg,https://www.youtube.com/watch?v=zWYJurAqlSY
Ponte para Terabítia,Gábor Csupó,2007,en,"Jess sente-se um estranho na escola e até mesmo em sua família. Durante todo o verão ele treinou para ser o garoto mais rápido da escola, mas seus planos são ameaçados por Leslie, que vence uma corrida que deveria ser apenas para garotos.",https://image.tmdb.org/t/p/w500/nvwKMGIrn3NnC3ByierBzRKuVIR.jpg,https://www.youtube.com/watch?v=rI8dXXUGZ3o
Watchmen: O Filme,Zack Snyder,2009,en,"Um de seus antigos colegas é assassinado, e o vigilante mascarado Rorschach decide investigar um plano para matar e desacreditar todos os super-heróis do passado e do presente. À medida que ele se reconecta com sua antiga legião de combate ao crime, um grupo desorganizado de super-heróis aposentados",https://image.tmdb.org/t/p/w500/oYEF02pi6goGRAXgfL0MZq5jFEo.jpg,https://www.youtube.com/watch?v=b6T-9vSQn3A
"Eu, Robô",Alex Proyas,2004,en,"Em 2035, é comum robôs serem usados como empregados e assistentes dos humanos. Para manter a ordem , esses robôs possuem um código de programação que impede a violência contra humanos, a Lei dos Robóticos. Quando Dr. Miles aparece morto e o principal suspeito é justamente um robô, acredita-se na pos",https://image.tmdb.org/t/p/w500/lpuBgSGqq65pA3F2wzZdtMzKqHh.jpg,https://www.youtube.com/watch?v=A66MQRBMMU0
Star Wars: Episódio II - Ataque dos Clones,George Lucas,2002,en,"Com a missão de proteger a Senadora Amidala, Anakin Skywalker descobre o seu amor por ela, do mesmo modo que vai conhecendo seu lado sombrio. Obi-Wan Kenobi descobre um exército de clones à medida que a Galáxia caminha para uma grande guerra.",https://image.tmdb.org/t/p/w500/ri3Gu1dYMxDcT0t4sUi0Aqf7MRS.jpg,https://www.youtube.com/watch?v=n7DQ9SdjUmg
300,Zack Snyder,2007,en,"Em 480 a.C., Leônidas, o rei de Esparta, comanda seu pequeno batalhão de 300 soldados contra um exército de mais de 1 milhão de persas na Batalha das Termópilas.",https://image.tmdb.org/t/p/w500/h7Lcio0c9ohxPhSZg42eTlKIVVY.jpg,https://www.youtube.com/watch?v=hIL3nTSwvXs
Jogos Mortais,James Wan,2004,en,"Dois homens acordam acorrentados em um banheiro como prisioneiros de um assassino em série que leva suas vítimas a situações limítrofes em um jogo macabro. Para sobreviver, eles terão de desvendar juntos as peças desse quebra-cabeças doentio.",https://image.tmdb.org/t/p/w500/jByGeGsJtoghNFHF5TgVvcSJ4Oc.jpg,https://www.youtube.com/watch?v=rX2hCa3ae9o
Sherlock Holmes,Guy Ritchie,2009,en,O excêntrico detetive consultor Sherlock Holmes e o doutor John Watson lutam para derrubar um novo inimigo e desvendar um plano mortal que poderia destruir a Inglaterra.,https://image.tmdb.org/t/p/w500/19ZNLpF6ibwcFIynGb65X3Z1bnL.jpg,https://www.youtube.com/watch?v=EQS7bRXrr5g
O Chamado,Gore Verbinski,2002,en,"Rachel Keller é uma jornalista que decide investigar a misteriosa morte de sua sobrinha. Ela percebe a relação da morte dela e de várias outras mortes com um estranho vídeo, que faz com que todas as pessoas que o assistam morram exatamente sete dias depois. Intrigada com a história, ela agora precis",https://image.tmdb.org/t/p/w500/4skN151KEKtJQSLJ7zkWSDGE0DJ.jpg,https://www.youtube.com/watch?v=7PX9gNDrZ54
Atirador,Antoine Fuqua,2007,en,"O atirador Marksman Bob Lee Swagger deixa o exército e desaparece sem deixar rastros. Ele volta para impedir o assassinato do Presidente dos Estados Unidos, mas é enganado e passa a ser perseguido como criminoso.",https://image.tmdb.org/t/p/w500/qluvMxXA2p15s7egazJn9vhX5Gi.jpg,https://www.youtube.com/watch?v=wuZr_1rC_yg
Cidade de Deus,Fernando Meirelles,2002,pt,"Buscapé é um jovem morador da Cidade de Deus que cresce em meio à violência. Com medo de se tornar um bandido, enxerga na fotografia uma oportunidade de ter uma vida digna.",https://image.tmdb.org/t/p/w500/gfnXixcGC060QcG6JPxN6AMdVsq.jpg,https://www.youtube.com/watch?v=fZJUKixyeXM
Os Outros,Alejandro Amenábar,2001,en,"Grace Stewart vive em uma casa velha com seus dois filhos e os criados. Uma condição rara das crianças, que são fotossensíveis, faz com que eles vivam na escuridão, algo que complica a rotina diária de todos. Acontece que coisas esquisitas têm acontecido na casa e Grace começa a suspeitar que sua ca",https://image.tmdb.org/t/p/w500/oPKffdRjZ5VOe0IcaxdVqG2BIsr.jpg,https://www.youtube.com/watch?v=iZmV5gOwHRI
O Curioso Caso de Benjamin Button,David Fincher,2008,en,"Benjamin Button é um homem que nasce idoso e rejuvenesce à medida que o tempo passa. Doze anos depois de seu nascimento, ele conhece Daisy, uma criança que entra e sai de sua vida enquanto cresce para ser dançarina. Embora tenha todos os tipos de aventuras incomuns, sua relação com Daisy o faz acred",https://image.tmdb.org/t/p/w500/84YkduLeFcYgqDBGcJ012fxdYqF.jpg,https://www.youtube.com/watch?v=p8ucIL2tLLo
Matrix Revolutions,Lana Wachowski,2003,en,"Após enfrentar os sentinelas no mundo real, Neo tem sua mente presa em um local que fica entre a Matrix e a realidade, do qual apenas poderá sair com a ajuda de Trainman. Após perceberem que as ondas cerebrais de Neo são idênticas as de uma pessoa conectada à Matrix, Trinity e Morpheus buscam a ajud",https://image.tmdb.org/t/p/w500/92oJ810bYqijBQ8tqYL74mSpPtV.jpg,https://www.youtube.com/watch?v=Ou8KTnfKuO8
V de Vingança,James McTeigue,2006,en,"Após uma guerra mundial, a Inglaterra é ocupada por um governo fascista e vive sob um regime totalitário. Na luta pela liberdade, um vigilante, conhecido apenas como V, utiliza-se de táticas terroristas para enfrentar os opressores da sociedade. V salva uma jovem chamada Evey da polícia secreta e en",https://image.tmdb.org/t/p/w500/rt4TiquPSuBqJsyUVUUC4rCP0ia.jpg,https://www.youtube.com/watch?v=E8XzibXYMWk
O Labirinto do Fauno,Guillermo del Toro,2006,es,"Espanha, 1944. Ofelia se muda com sua mãe para uma guarnição dirigida por seu padrasto, Vidal, um capitão autoritário do exército de Franco. Perto da casa da família, a jovem descobre um estranho labirinto guardado por uma criatura, um fauno chamado Pan. O monstro revela que ela é nada menos que a p",https://image.tmdb.org/t/p/w500/dOk9NOfmM3SpkExfbHyec7Puz47.jpg,https://www.youtube.com/watch?v=M09mCcVgrsA
Desejo e Reparação,Joe Wright,2007,en,"Em 1935, no dia mais quente do ano na Inglaterra, Briony Talles e sua família se reúnem num fim de semana na mansão familiar. O momento político é de tensão, por conta da 2ª Guerra Mundial. Em meio ao calor opressivo emergem antigos ressentimentos familiares. Cinco anos antes, Briony, então aos 13 a",https://image.tmdb.org/t/p/w500/sFIHg2JAyOe6ua0WM2IvcVplrZj.jpg,https://www.youtube.com/watch?v=e3iNfcvj_jA
