Nome do filme,Diretor,Ano de lançamento,Língua,Sinopse,Link para a capa,Trailer
Guerra nas Estrelas: O Retorno de Jedi,Richard Marquand,1983,en,"O imperador está supervisionando a construção de uma nova Estrela da Morte. Enquanto isso Luke Skywalker liberta Han Solo e a Princesa Leia das mãos de Jaba. Luke só se tornará um cavaleiro jedi quando destruir Darth Vader, que ainda pretende atraí-lo para o lado sombrio da Força.",https://image.tmdb.org/t/p/w500/a4jlKpK1IzTtOtTdAzrgWm8jvmS.jpg,https://www.youtube.com/watch?v=BT-fVW24-q4
Dirty Dancing: Ritmo Quente,Emile Ardolino,1987,en,"Na esperança de curtir sua juventude, uma jovem fica decepcionada ao descobrir que seus pais passarão o verão de 1963 com ela em um resort na sonolenta região de Catskills. Mas sua sorte muda quando ela conhece o instrutor de dança do resort, Johnny, um rapaz com um passado bem diferente do dela. Qu",https://image.tmdb.org/t/p/w500/mUVIRUpqKQa8uKDgyYrQHs6rlbz.jpg,https://www.youtube.com/watch?v=ILH8KT0lbSA
Akira,大友克洋,1988,ja,"Uma grande explosão fez com que Tóquio fosse destruída em 1988. Em seu lugar, foi construída Neo-Tóquio, que, em 2019, sofre com atentados terroristas por toda a cidade. Kaneda e Tetsuo são amigos que integram uma gangue de motoqueiros. Eles disputam rachas violentos com uma gangue rival, os Palhaço",https://image.tmdb.org/t/p/w500/tbwwTQ3EqSdotbQ3ZcIl6vKBv7q.jpg,https://www.youtube.com/watch?v=ooKBenGK3R4
Nascido Para Matar,Stanley Kubrick,1987,en,"Um sargento treina de forma fanática e sádica os recrutas em uma base de treinamentos, na intenção de transformá-los em máquinas de guerra para combater na Guerra do Vietnã. Após serem transformados em fuzileiros navais, eles são enviados para a guerra e quando lá chegam se deparam com seus horrores",https://image.tmdb.org/t/p/w500/qHm54HjL1F6CFVyYOz6Q2HAPTfS.jpg,https://www.youtube.com/watch?v=ElJKZqnJsU4
De Volta para o Futuro II,Robert Zemeckis,1989,en,"Uma despretensiosa visita de McFly e Doc ao ano de 2015 revela alguns problemas com a futura família de McFly. Mas quando os dois voltam para casa, logo descobrem que alguém alterou a linha temporal e criou uma terrível Hill Valley em 1985. A única esperança é poder voltar de novo para o ano de 1995",https://image.tmdb.org/t/p/w500/CZjdqLtH1qsuzt8ouCFUJv88hT.jpg,https://www.youtube.com/watch?v=o7GYCOOS1pc
Brinquedo Assassino,Tom Holland,1988,en,"Após a babá do garotinho de seis anos, Andy Barclay, ser violentamente arremessada pela janela, ninguém acredita nele quando diz que ""Chucky"", o boneco que ganhou de aniversário, foi o culpado! Até que as coisas começam a dar errado... mortalmente errado. E quando uma série de terríveis assassinatos",https://image.tmdb.org/t/p/w500/pdnXDnuAWIc9pwobTQ5XknlcbbS.jpg,https://www.youtube.com/watch?v=PMHAPMGXQ9s
Cinema Paradiso,Giuseppe Tornatore,1988,it,"Um diretor de cinema relembra como, em sua infância, se apaixonou pelo filmes no cinema de seu vilarejo e iniciou uma profunda amizade com o projetista.",https://image.tmdb.org/t/p/w500/kkmwHNAiCea2QGX6kgPmdDKaWyp.jpg,https://www.youtube.com/watch?v=S7GZlpJNOQ8
Os Irmãos Cara de Pau,John Landis,1980,en,"Após deixar a cadeia Jake reencontra seu irmão Elwood e juntos vão para o orfanato onde foram criados. Lá eles descobrem que o local será fechado se uma dívida de US$ 5 mil com a prefeitura não for paga. Como a freira que dirige o orfanato não aceita de forma alguma dinheiro ganho desonestamente, Ja",https://image.tmdb.org/t/p/w500/N6bV5I9eNCwODbZ4XOtqK0IcTH.jpg,https://www.youtube.com/watch?v=Vb5DHpzRiLE
O Nome da Rosa,Jean-Jacques Annaud,1986,en,"Em 1327, William de Baskerville, um monge franciscano, e Adso von Melk, um noviço que o acompanha, chegam a um remoto mosteiro no norte da Itália. William de Baskerville pretende participar de um conclave para decidir se a Igreja deve doar parte de suas riquezas, mas a atenção é desviada por vários ",https://image.tmdb.org/t/p/w500/8o6U4vBbAop4344tMnzdu8pN7Qy.jpg,https://www.youtube.com/watch?v=zeB8fWh4X-s
Harry & Sally: Feitos um para o Outro,Rob Reiner,1989,en,"Harry e Sally vão morar em Nova York, se veem esporadicamente e constroem uma grande amizade ao longo dos anos. Mas, aos poucos, percebem com certo temor que estão apaixonados um pelo outro.",https://image.tmdb.org/t/p/w500/BTW9p26mVqckpq3f9kYxB4RELp.jpg,https://www.youtube.com/watch?v=rNQaL5iFi08
O Túmulo dos Vagalumes,高畑勲,1988,ja,"O filme relata a história de dois irmãos, Seita e Setsuko, no período da Segunda Guerra Mundial no Japão. O pai deles é convocado para defender o país na guerra, pois faz parte da marinha japonesa e a mãe falece em um bombardeio de aviões norte-americanos. A partir daí, o filme mostra a luta pela so",https://image.tmdb.org/t/p/w500/kHFUyxNJfhMkKk1FwrNHd62KTEs.jpg,https://www.youtube.com/watch?v=NAKlDJmwq-g
Titanic,James Cameron,1997,en,"Um artista pobre e uma jovem rica se conhecem e se apaixonam na fatídica jornada do Titanic, em 1912. Embora esteja noiva do arrogante herdeiro de uma siderúrgica, a jovem desafia sua família e amigos em busca do verdadeiro amor.",https://image.tmdb.org/t/p/w500/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,https://www.youtube.com/watch?v=IH6_CA_ocqY
Matrix,Lana Wachowski,1999,en,"Thomas Anderson, um jovem programador de computador que mora em um cubículo escuro, é atormentado por estranhos pesadelos nos quais encontra-se conectado por cabos e contra sua vontade, em um imenso sistema de computadores do futuro. Em todas essas ocasiões, acorda gritando no exato momento em que o",https://image.tmdb.org/t/p/w500/qFHE09iQDbpHUBXJ8cFZu9v2ViO.jpg,https://www.youtube.com/watch?v=mPYfd6PCmYY
Mulan,Tony Bancroft,1998,en,"Na antiga China, durante a guerra, todos os homens são convocados para lutar. Mas, um pobre velho, que pela idade não poderia mais lutar, descobre que sua filha Mulan toma o seu lugar, vestindo-se como homem e permanecendo em segredo. Se isso for descoberto, o castigo será severo. Agora, durante a g",https://image.tmdb.org/t/p/w500/nq4taYpb2PjN1Cwni23GOZJbOaR.jpg,https://www.youtube.com/watch?v=QeumUhzJepI
Forrest Gump: O Contador de Histórias,Robert Zemeckis,1994,en,"Quarenta anos da história dos Estados Unidos, vistos pelos olhos de Forrest Gump, um rapaz com QI abaixo da média e com boas intenções. Por obra do acaso, ele consegue participar de momentos cruciais, como a Guerra do Vietnã e o Caso Watergate, mas continua pensando no seu amor de infância, Jenny Cu",https://image.tmdb.org/t/p/w500/d74WpIsH8379TIL4wUxDneRCYv2.jpg,https://www.youtube.com/watch?v=vDY_uZAaU7g
Clube da Luta,David Fincher,1999,en,Um homem deprimido que sofre de insônia conhece um estranho vendedor de sabonetes chamado Tyler Durden. Eles formam um clube clandestino com regras rígidas onde lutam com outros homens cansados de suas vidas mundanas. Mas sua parceria perfeita é comprometida quando Marla chama a atenção de Tyler.,https://image.tmdb.org/t/p/w500/r3pPehX4ik8NLYPpbDRAh0YRtMb.jpg,https://www.youtube.com/watch?v=eBKvlCf0B4g
O Rei Leão,Roger Allers,1994,en,"Mufasa, o Rei Leão, e a rainha Sarabi apresentam ao reino o herdeiro do trono, Simba. O recém-nascido recebe a bênção do sábio babuíno Rafiki, mas ao crescer é envolvido nas artimanhas de seu tio Scar, o invejoso e maquiavélico irmão de Mufasa, que planeja livrar-se do sobrinho e herdar o trono.",https://image.tmdb.org/t/p/w500/8aIvm8OaJISOpVTt7rMIh7X35G5.jpg,https://www.youtube.com/watch?v=rHiHRhbTv-Q
Pulp Fiction: Tempo de Violência,Quentin Tarantino,1994,en,"Vincent Vega e Jules Winnfield são dois assassinos profissionais que trabalham fazendo cobranças para Marsellus Wallace, um poderosos gângster. Vega é forçado a sair com a garota do chefe, temendo passar dos limites. Enquanto isso, o pugilista Butch Coolidge se mete em apuros por ganhar uma luta que",https://image.tmdb.org/t/p/w500/tptjnB2LDbuUWya9Cx5sQtv5hqb.jpg,https://www.youtube.com/watch?v=YBZp3tkua2Y
A Lista de Schindler,Steven Spielberg,1993,en,"O alemão Oskar Schindler viu na mão de obra judia uma solução barata e viável para lucrar com negócios durante a guerra. Com sua forte influência dentro do partido nazista, foi fácil conseguir as autorizações e abrir uma fábrica. O que poderia parecer uma atitude de um homem não muito bondoso, trans",https://image.tmdb.org/t/p/w500/bGhhNzJYDsuLruNN5bJ2PvLcMiq.jpg,https://www.youtube.com/watch?v=RQfPCRUz6lw
À Espera de um Milagre,Frank Darabont,1999,en,"Milagres acontecem em lugares inesperados, mesmo no bloco de celas para o corredor da morte na Penitenciária Cold Mountain. Lá, John Coffey, um gentil e gigante prisioneiro com poderes sobrenaturais, traz um senso de espírito e humanidade aos seus guardas e colegas de cela.",https://image.tmdb.org/t/p/w500/14hEqW67IiHlKpzKMLUXyktzZIV.jpg,https://www.youtube.com/watch?v=EIc_wJtm6AU
Fogo Contra Fogo,Michael Mann,1995,en,"O ladrão obsessivo Neil McCauley lidera uma equipe de primeira linha em vários assaltos ousados ​​por Los Angeles, enquanto o determinado detetive Vincent Hanna o persegue sem descanso. Cada homem reconhece e respeita a capacidade e a dedicação do outro, mesmo sabendo que o seu jogo de gato e rato p",https://image.tmdb.org/t/p/w500/A9InJSiXQoECm7Hc6bttGBI9Dkk.jpg,https://www.youtube.com/watch?v=wStCcd4u1Dk
O Resgate do Soldado Ryan,Steven Spielberg,1998,en,"Ao desembarcar na Normandia, no dia 6 de junho de 1944, o capitão Miller recebe a missão de comandar um grupo do segundo batalhão para o resgate do soldado James Ryan, caçula de quatro irmãos, dentre os quais três morreram em combate. Por ordens do chefe George C. Marshall, eles precisam procurar o ",https://image.tmdb.org/t/p/w500/9SykLweWJJ5ISoT52s4Pfmul9DM.jpg,https://www.youtube.com/watch?v=WdHJ_nLRjIA
Star Wars: Episódio I - A Ameaça Fantasma,George Lucas,1999,en,"Enquanto resgatam a Rainha Amidala, governante de um planeta pacífico invadido por forças ameaçadoras, os Cavaleiros Jedi Obi-Wan Kenobi e Qui-Gon Jinn descobrem Anakin Skywalker, uma criança prodígio de 9 anos excepcionalmente poderosa na Força.",https://image.tmdb.org/t/p/w500/pfC6UU9Dik01e80aUPCHI9idDZ.jpg,https://www.youtube.com/watch?v=Rh2MILsyzrQ
American Pie: A Primeira Vez é Inesquecível,Paul Weitz,1999,en,"Jim Kevin, Oz e Finch são quatro amigos às vésperas do baile de formatura de escola. Entre tentativas frustradas de fazer sexo com as namoradas, vigiar garotas nuas pela Internet e até atacar uma torta recém-saída do forno, os rapazes fazem um pacto: deixar a virgindade para trás antes do baile de f",https://image.tmdb.org/t/p/w500/4GxuPJxUcArRpfBGJL6BG3B4Cb9.jpg,https://www.youtube.com/watch?v=lyjN03YifLE
Operação Cupido,Nancy Meyers,1998,en,"As gêmeas Hallie e Annie foram separadas ainda pequenas. Uma ficou com a mãe, Elizabeth, e outra com o pai, Nicholas. Um dia as duas se encontram num acampamento de verão e se dão conta do parentesco até então desconhecido. Elas trocam de lugar na volta para a casa e elaboram um plano para que o cas",https://image.tmdb.org/t/p/w500/ztIUJ94m2lH7G2utUJ9AzJhTSvr.jpg,https://www.youtube.com/watch?v=WxbgYqkn8Qg
