id,Title,Director,Vote_Average,Genre,Year,Original_Language,Overview,Poster_Url,Trailer,Price
646,O Cavaleiro Solitário,Gore Verbinski,6.112,Ação,2013,Inglês,"Depois de ser salvo pelo índio guerreiro Tonto de uma emboscada que matou seu irmão, o homem da lei John Reid decide usar uma máscara para se vingar dos assassinos, se transformando no lendário Cavaleiro Solitário.",https://image.tmdb.org/t/p/w500/oz7euNg7BmA5aYjcjKIzIAMT8V6.jpg,https://www.youtube.com/watch?v=6XJLKw96fr0,12
647,72 Horas,Paul Haggis,7.085,Romance,2010,Inglês,"John Brennan é um professor universitário que leva uma vida perfeita, até sua esposa Lara ser acusada de ter cometido um crime brutal. Ela jura que não é a autora do crime. Após três anos de recursos judiciais sem sucesso, John percebe que o único meio de ter sua esposa de volta será tirando-a da prisão. Ele tem apenas 72 horas para elaborar o plano e executá-lo.",https://image.tmdb.org/t/p/w500/nToxNOxfRZONNTSoKHIVWWqRNTR.jpg,https://www.youtube.com/watch?v=IQTE23_ISkY,18
648,Fúria Sobre Rodas,Patrick Lussier,5.531,Fantasia,2011,Inglês,"Milton (Nicolas Cage) se envolveu com pessoas erradas no passado, foi parar no inferno e acabou tendo sua filha assassinada. Agora sua neta está das mãos do líder da mesma seita satânica. Chegou a hora de Milton retornar do mundo das trevas para tentar salvá-la e, quem sabe, ter a sua redenção. Em sua jornada para descobrir o paradeiro da criança ele conhece Piper (Amber Heard), uma garçonete boa de briga e em busca de aventura. Era o que ele precisava para enfrentar seus inimigos e ainda driblar O Contador (William Fichtner), um fiel súdito do diabo disposto a tudo para levá-lo de volta para o príncipe da escuridão.",https://image.tmdb.org/t/p/w500/ysYTf7VEPAtHWDgBMqqfsKWKadF.jpg,https://www.youtube.com/watch?v=DrTeZKfrcw8,16
649,O Apocalipse,Vic Armstrong,4.26,Thriller,2014,Inglês,"Após um longo tempo, Chloe decide visitar os pais. Ela andava irritava com a mãe, Irene, que há cerca de um ano insistia na pregação religiosa a todos à sua volta. Ainda no aeroporto, ela encontra por acaso com seu pai, Rayford, um piloto de avião. Durante a viagem, algo repentino acontece em todo o planeta... Milhões de pessoas simplesmente desaparecem, sem deixar vestígios.",https://image.tmdb.org/t/p/w500/3fHwNFmm0Kcs2VP5y3Pob7Dc3K1.jpg,https://www.youtube.com/watch?v=S6nd1Oj4Zks,14
650,Relatos Selvagens,Damián Szifron,7.87,Drama,2014,Espanhol,Seis contos que exploram os extremos do comportamento humano envolvendo pessoas em desespero.,https://image.tmdb.org/t/p/w500/bkhHsHoa5PYBmhT93mYOC28Hhd2.jpg,https://www.youtube.com/watch?v=VQM4BxppAqw,16
651,3 Dias para Matar,McG,6.099,Ação,2014,Inglês,"Ethan Renner (Kevin Costner), veterano agente secreto, está à beira da morte. Seu último desejo é reatar com sua filha, com quem perdeu contato há muito tempo. Temendo não ter tempo hábil para salvar seus relacionamentos com a menina e com a ex-esposa, este homem descobre a existência de uma potente droga que pode salvá-lo, contanto que ele aceite um derradeiro trabalho.",https://image.tmdb.org/t/p/w500/kW6zkRGYiwHViMRUy0wJkbXIFBv.jpg,https://www.youtube.com/watch?v=lGUt-mymzKI,16
652,Vizinhos Imediatos de 3º Grau,Akiva Schaffer,5.59,Comédia,2012,Inglês,"Quatro amigos formam um grupo de vigilância do bairro. Equipados, levam sua missão a sério. Mas quando descobrem que alienígenas vivem entre eles e ninguém acredita, precisam agir sozinhos para salvar o mundo.",https://image.tmdb.org/t/p/w500/sFztq5Uq9JQoMwc4q7N5ELKs0kB.jpg,https://www.youtube.com/watch?v=1zCXLjdN4EQ,20
653,Resident Evil: Condenação,神谷誠,6.9,Animação,2012,Japonês,"Leon S. Kennedy, agente especial dos EUA, entra escondido em um pequeno país do leste da Europa para confirmar boatos de que Armas Bio Orgânicas (B.O.W) estão sendo usadas em guerras. Logo após sua infiltração, o governo norte-americano pede que ele se retire imediatamente. Mas Leon, determinado a descobrir a verdade, ignora a ordem e entra no campo de batalha para acabar com a série de tragédias causadas por essas armas.",https://image.tmdb.org/t/p/w500/mzc5K7Lz4d3CM91pdQA7xAatDt7.jpg,https://www.youtube.com/watch?v=oeUrTfWjpBk,11
654,Redenção,Steven Knight,6.173,Ação,2013,Inglês,"Joey Jones é um veterano do exército norte-americano que lutou na Guerra do Afeganistão. Após ter sua namorada, que estava grávida, assassinada, ele usa seus contatos com a máfia chinesa para encontrar a pessoa responsável pelo crime.",https://image.tmdb.org/t/p/w500/mtXFVL5kaNBBS08KWkDeLEsk89n.jpg,https://www.youtube.com/watch?v=epvpQCllM7Y,18
655,O Físico,Philipp Stölzl,7.348,Aventura,2013,Inglês,"A história se passa na Idade Média e mostra a história de Rob Cole (Payne), um médico que busca explicações científicas para doenças em um mundo dominado pela religião. Kingsley interpretará Ibn Sina, o ""médico dos médicos"" e Skarsgard será o Barbeiro, mentor do protagonista.",https://image.tmdb.org/t/p/w500/bDd2AW6VlFtXUJa2ZqgdP7vVKKz.jpg,https://www.youtube.com/watch?v=DOlTH5S4iV0,18
656,Sucker Punch: Mundo Surreal,Zack Snyder,6.2,Ação,2011,Inglês,"Uma jovem é internada em um hospital psiquiátrico pelo padrasto. Lá, aventura-se em um mundo surreal para fugir de sua dura realidade.",https://image.tmdb.org/t/p/w500/uUDZWIOUxtVhU1YwlOxvNlnZM5h.jpg,https://www.youtube.com/watch?v=fiEdx18X3Rk,14
657,Caminho da Liberdade,Peter Weir,6.999,Drama,2010,Inglês,"Denunciado por sua esposa em 1939 como um possível espião, Janusz encontra-se em um campo de trabalho da Sibéria. Vivendo em condições brutais, ele está determinado a escapar e uma nevasca lhe fornece a oportunidade perfeita e, junto a um pequeno grupo de prisioneiros, fogem. A fuga, porém, é a parte mais fácil, pois Janusz e seus companheiros têm pela frente uma caminhada de 6.500 quilômetros a pé pelo Himalaia congelado, antes que possam ser verdadeiramente livres.",https://image.tmdb.org/t/p/w500/4eCeFZln8zsrgBz33BCiGQMR5EX.jpg,https://www.youtube.com/watch?v=CzC5uaMOG5Q,12
658,O Despertar da Lenda,Roy Chow Hin-Yeung,6.238,Drama,2014,Chinês,"Um extraordinário e muito habilidoso lutador de artes marciais (Eddie Peng) retorna a sua cidade natal onde seu pai foi assassinado. Sua intenção é enfrentar o impiedoso chefão do crime e trazer justiça não só para ele, mas para as pessoas do local.",https://image.tmdb.org/t/p/w500/oyli2Yv4OFCbcvcNHIxkmpbQmGB.jpg,https://www.youtube.com/watch?v=sFTePhiCIDA,12
659,Jovem e Bela,François Ozon,6.482,Drama,2013,Francês,"Depois de perder a virgindade, Isabelle assume uma vida secreta como garota de programa, conhecendo seus clientes para encontros em quartos de hotel. Durante todo o tempo, ela permanece curiosamente distante, demonstrando pouco interesse pelos encontros ou pelo dinheiro que ganha.",https://image.tmdb.org/t/p/w500/tH0lcahuf8oMP5rAAo2MiqeUBd9.jpg,https://www.youtube.com/watch?v=yd_54n9pJPM,14
660,O Ritual,Mikael Håfström,6.115,Drama,2011,Inglês,"Um seminarista é enviado ao Vaticano para estudar exorcismo, apesar de sua relutância e ceticismo em relação ao tema. Porém, ao tentar solucionar um caso aterrorizante, ele começa a questionar tudo o que já acreditou.",https://image.tmdb.org/t/p/w500/yFRTz69BvtqZa7VjkyNGehjVb6p.jpg,https://www.youtube.com/watch?v=r6boxf9j054,18
661,As Memórias de Marnie,米林宏昌,7.933,Animação,2014,Japonês,"Anna é uma menina de 12 anos, filha de pais adotivos, sempre muito solitária e não exatamente feliz. Um belo dia, em um castelo numa ilha isolada, ela conhece Marnie. A menina loira de vestido branco se torna a grande e única amiga de Anna, mas ela descobrirá que Marnie não é exatamente quem parece ser.",https://image.tmdb.org/t/p/w500/q8dKK0OdBR91gEJWRdo9osvxvM6.jpg,https://www.youtube.com/watch?v=yLML28cvfko,12
