Nome do filme,Diretor,Avaliação,Número de votos,Sinopse,Gênero,Ano de lançamento,Língua,Link para a capa,Trailer,Duração
22 de Julho,Paul Greengrass,7.1,1198,"Noruega, 2011. Anders Behring Breivik, consumido pelos seus ideias fundamentalistas cristãos e anti-islâmicos, mata 75 pessoas a tiros em um acampamento na Ilha de Utoya. Os sobreviventes do ataque pedem justiça ao governo Norueguês, enquanto os advogados do terrorista condenado se mobilizam para defendê-lo perante a lei. Baseado em fatos reais.",Crime,2018,en,https://image.tmdb.org/t/p/w500/fO1YmU5DvYdudmODO25PpRekiMX.jpg,https://www.youtube.com/watch?v=sGJFL0HGfA4,133
Sierra Burgess é uma Loser,Ian Samuels,6.301,3424,Uma mensagem enviada por engano dá início ao romance virtual entre uma nerd e um atleta. O problema é que ele acha que está falando com uma popular líder de torcida.,Comédia,2018,en,https://image.tmdb.org/t/p/w500/9sYzYupvBQ3NRqaQr1rha4GsswU.jpg,https://www.youtube.com/watch?v=q9Pk_Eq4BUc,105
Todos Já Sabem,اصغر فرهادی,6.531,991,"Laura, uma espanhola vivendo em Buenos Aires, volta com os dois filhos para sua cidade natal nos arredores de Madri para comparecer ao casamento de sua irmã. Porém, a viagem é perturbada por eventos inesperados que tornam públicos grandes segredos.",Crime,2018,es,https://image.tmdb.org/t/p/w500/xkdMKQFEABYnjOdbEERU4PynSVn.jpg,https://www.youtube.com/watch?v=ITp9IvuS6Tk,133
Na Própria Pele - O Caso Stefano Cucchi,Alessio Cremonini,8.031,1860,"Detido por posse de drogas, Stefano Cucchi enfrenta uma semana atrás das grades que muda para sempre a vida de sua família. Baseado em fatos reais.",Drama,2018,it,https://image.tmdb.org/t/p/w500/jOvvIZjdbGVpPaQ8upPpZzttO3T.jpg,https://www.youtube.com/watch?v=ep-O2Nl0P0s,100
A Esposa,Björn Runge,7.058,1078,"Joan Castleman é uma esposa que abandonou suas ambições de escritora para desempenhar o papel de companheira de seu marido, o grande literário e mulherengo Joe Castleman. Porém, na véspera do Prêmio Nobel de Literatura que ele irá receber, Joan decide deixá-lo.",Drama,2018,en,https://image.tmdb.org/t/p/w500/6cGJlTPOICAi4KfMmAVe6r7Oh1s.jpg,https://www.youtube.com/watch?v=d81IM0loH7o,100
Stan & Ollie - O Gordo e o Magro,Jon S. Baird,6.959,1068,"Conta a história real de uma das maiores duplas de comediantes de todos os tempos, Laurel e Hardy. Os dois embarcaram em uma longa jornada em sua turnê pela Grã-Bretanha, em 1953, buscando colocar suas carreiras novamente nos holofotes, mesmo com o mundo ainda abalado pelos efeitos da Segunda Guerra Mundial.",Comédia,2018,en,https://image.tmdb.org/t/p/w500/gMk8iriC4lSPXG3HVmNqo13pHHJ.jpg,https://www.youtube.com/watch?v=D2zdFwgUYBg,98
Eu Não Sou um Homem Fácil,Eléonore Pourriat,6.253,999,"O machista Damien (Vincent Elbaz) acorda em um mundo onde as mulheres e os homens têm seus papéis invertidos na sociedade, e tudo é dominado por mulheres. Ele entra em conflito com La Coach (Moon Dailly), uma poderosa escritora.",Comédia,2018,fr,https://image.tmdb.org/t/p/w500/4zNw5nVeQkdj3HS82HRBRkQXbvf.jpg,https://www.youtube.com/watch?v=DMVJ8_VnIgo,98
Puro-Sangue,Cory Finley,6.427,1178,"Duas meninas adolescentes no subúrbio de Connecticut se reconectam numa amizade improvável após anos distantes. No processo, elas aprendem que nenhuma das duas é o que aparenta ser e que um assassinato pode resolver ambos os seus problemas.",Drama,2018,en,https://image.tmdb.org/t/p/w500/96ySMoicQSbRzecf4bnJQxz1QmO.jpg,https://www.youtube.com/watch?v=gdfcEwP7cUE,92
Vende-se Esta Casa,Matt Angel,3.698,1389,"Depois de uma tragédia, uma mãe e o filho adolescente vão viver nas montanhas numa casa desocupada de parentes. Lá, forças aterrorizantes e misteriosas os aguardam.",Terror,2018,en,https://image.tmdb.org/t/p/w500/tAcsTHfzYwxe0QkarzHqNfnqvxa.jpg,https://www.youtube.com/watch?v=Jof8uXcdOTk,94
Poderia Me Perdoar?,Marielle Heller,6.806,1289,"Passando por problemas financeiros, a jornalista Lee Israel decide forjar e vender cartas de personalidades já falecidas, um negócio criminoso que dá muito certo. Quando as primeiras suspeitas começam, para não parar de lucrar, ela modifica o esquema e passa a roubar os textos originais de arquivos e bibliotecas. Baseado em uma história real.",Drama,2018,en,https://image.tmdb.org/t/p/w500/5FcFLK1Cb4x3KDCjjpBPJuRWb7T.jpg,https://www.youtube.com/watch?v=ISR_9pHqASU,107
Mãe e Pai,Brian Taylor,5.396,1016,Uma adolescente e seu irmãozinho devem sobreviver a 24 horas durante as quais uma histeria em massa de origens desconhecidas faz com que os pais se voltem violentamente para seus próprios filhos. A sinopse oficial ainda não foi divulgada.,Comédia,2018,en,https://image.tmdb.org/t/p/w500/8Yr4gZCPGcqx4LskxEe7wlOQm43.jpg,https://www.youtube.com/watch?v=ZoxTvSJuDI8,86
O Velho e a Arma,David Lowery,6.433,1409,"Preciso, gentil e carismático, Forrest Trucker domina com maestria a arte de assaltar bancos. Aos 70 anos de idade, o senhor conseguiu a façanha de escapar da prisão de San Quentin e de tantas outras, e agora segue conduzindo uma série de roubos que intriga a polícia e fascina os espectadores. No entanto, o detetive John Hunt está na sua cola, e Trucker precisará elaborar ainda mais suas artimanhas para ter sucesso no seu último grande ato.",Comédia,2018,en,https://image.tmdb.org/t/p/w500/24wx6tKWPQwum5DLXgvNicFgrf3.jpg,https://www.youtube.com/watch?v=d7rlUe-Thvk,93
